RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical
6918,1722 N Western Ave,1,24,West Town,1,41.912521,-87.687316,0
1207,1723 N Damen Ave,32,24,West Town,1,41.912927,-87.677366,0
1242,1724 N Ashland Ave,1,24,West Town,1,41.912908,-87.667889,0
5952,1725 N Damen Ave,32,24,West Town,1,41.912973,-87.677418,1
5377,1735 N Damen Ave,32,24,West Town,2,41.913366,-87.677394,1
6215,1735 N Paulina St,1,24,West Town,2,41.913094,-87.670016,1
1208,1741 N Damen Ave,32,24,West Town,1,41.913514,-87.677394,0
1253,1755 W North Ave,1,24,West Town,1,41.910431,-87.671888,0
1254,1800 W North Ave,32,24,West Town,1,41.910648,-87.672728,0
4476,1824 N Milwaukee Ave,1,22,Logan Square,2,41.914504,-87.684115,1
2524,1825 N Damen Ave,32,22,Logan Square,1,41.914593,-87.677406,1
1166,1835 N Milwaukee Ave,32,22,Logan Square,1,41.914879,-87.684141,0
6116,1840 W North Ave,32,24,West Town,1,41.910662,-87.674069,1
728,1845 N Western Ave,1,22,Logan Square,1,41.915096,-87.687141,0
706,1845 W Cortland St,32,22,Logan Square,1,41.915867,-87.674261,0
2484,1845 W Cortland St,32,22,Logan Square,1,41.915867,-87.674261,1
1256,1854 W North Ave,32,24,West Town,1,41.910661,-87.674265,0
4805,1858 W Wabansia Ave,32,24,West Town,1,41.912476,-87.674374,1
6782,1861 N Milwaukee Ave,1,22,Logan Square,1,41.915593,-87.685239,0
5355,1865 N Milwaukee Ave,1,22,Logan Square,2,41.915658,-87.68534,1
5381,1866 N Milwaukee Ave,1,22,Logan Square,2,41.915459,-87.685584,1
6284,1869 N Damen Ave,32,22,Logan Square,1,41.915765,-87.677394,1
394,1900 W North Ave,32,24,West Town,3,41.910609,-87.675179,0
1049,1904 N Milwaukee Ave,1,22,Logan Square,1,41.915993,-87.686408,0
7068,1909 N Western Ave,1,22,Logan Square,3,41.916071,-87.687185,0
472,1913 W North Ave,1,24,West Town,2,41.910372,-87.675562,0
6882,1916 N Western Ave,1,22,Logan Square,1,41.916255,-87.687551,0
409,1916 W North Ave,32,24,West Town,1,41.910638,-87.675706,0
6887,1919 N Milwaukee Ave,1,22,Logan Square,1,41.916533,-87.686691,0
